"SSAL","ALQ","Alegrete","-29.79369284:-055.76743882","SS","Brazil"
"LFOF","XAN","Alencon Valframbert","48.44626788:000.10424515","LF","France"
"OSAP","ALP","Aleppo Intl","36.18233300:037.20837500","OS","Syria"
"CYLT","YLT","Alert","82.51277800:-062.32333300","CY","Canada"
"CYAL","YAL","Alert Bay","50.57458149:-126.90383150","CY","Canada"
"SPAR","ALD","Alerta","-11.68419707:-069.33853594","SP","Peru"
"FAAB","ALJ","Alexander Bay","-28.58442769:016.53605297","FA","South Africa"
"NZLX","ALR","Alexandra","-45.20583300:169.36971900","NZ","New Zealand, Antarctica"
"HEAX","ALY","Alexandria Intl","31.17466400:029.93813100","HE","Egypt"
"KAEX","AEX","Alexandria Intl","31.33787800:-092.55922800","KA","United States of America"
"LGAL","AXD","Alexandroupolis Dimokritos","40.85249200:025.94171100","LG","Greece"
"SPNC","HUU","Alferez Fap D F Fernandini","-09.88313900:-076.21538600","SP","Peru"
"SKCL","CLO","Alfonso Bonilla Aragon Intl","03.52990000:-076.38391900","SK","Colombia"
"SKVP","VUP","Alfonso Lopez Pumarejo","10.42570600:-073.25108600","SK","Colombia"
"SKLT","LET","Alfredo Vasquez Cobo","-04.20110000:-069.94568600","SK","Colombia"
"DAAG","ALG","Alger Houari Boumediene","36.69391700:003.22016700","DA","Algeria"
"LIEA","AHO","Alghero","40.61984700:008.28339200","LI","Italy"
"KAXA","AXG","Algona Muni","43.08153600:-094.27838100","KA","United States of America"
"LEAL","ALC","Alicante","38.28451902:-000.57499796","LE","Spain"
"KALI","ALI","Alice Intl","27.74531700:-098.03389400","KA","United States of America"
"YBAS","ASP","Alice Springs","-23.80061151:133.89256589","YB","Australia"
"RPMA","AAV","Allah Valley","06.37190800:124.74888100","RP","Philippines"
"VIAL","IXD","Allahabad","25.44356400:081.72606700","VI","India"
"OPLA","LHE","Allama Iqbal Intl","31.53665000:074.40484400","OP","Pakistan"
"KAGC","AGC","Allegheny Co","40.35428300:-079.94110000","KA","United States of America"
"PABI","BIG","Allen Aaf","64.00800000:-145.70700000","PA","Alaska"
"KAIA","AIA","Alliance Muni","42.06000000:-102.81859200","KA","United States of America"
"CYTF","YTF","Alma","48.51111100:-071.65000300","CY","Canada"
"UAAA","ALA","Almaty","43.34095600:077.01806700","UA","Kazakhstan, Kyrgyzstan"
"SNAR","AMJ","Almenara","-16.16952500:-040.68866900","SN","Brazil"
"LEAM","LEI","Almeria","36.83972200:-002.38725800","LE","Spain"
"SKRH","RCH","Almirante Padilla","11.52600600:-072.93351900","SK","Colombia"
