"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"EL BOLSON","SAVB","-41.943189:-71.532289"
"SAN NICOLAS DE LOS ARROYOS","SA","-33.390697:-60.195675"
"SAN JULIAN","SAWJ","-49.306775:-67.802589"
"LA PLATA","SADL","-34.972222:-57.894694"
"VENADO TUERTO","SA","-33.681831:-61.956389"
"PASO DE LOS LIBRES","SARL","-29.689425:-57.152078"
"LA RIOJA","SANL","-29.381636:-66.795839"
"EL PALOMAR","SADP","-34.609939:-58.612592"
"GENERAL PICO","SAZG","-35.696183:-63.758286"
"VILLA MINETTI","SA","-28.620083:-61.603764"
"PRESIDENTE PERON","SAZN","-38.949000:-68.155711"
"SALTA","SASA","-24.855978:-65.486169"
"SANTA ROSA","SAZR","-36.588322:-64.275694"
"CORRIENTES","SARC","-27.445503:-58.761864"
"CAMPO DE MAYO","SADO","-34.534439:-58.671736"
"COMANDANTE LUIS PIEDRABUENA","SA","-49.995089:-68.953081"
"PUERTO DESEADO","SAWD","-47.735292:-65.904097"
"ANTOINE DE ST EXUPERY","SAVN","-40.751221:-65.034286"
"AEROPARQUE JORGE NEWBERY","SABE","-34.559175:-58.415606"
"SAN FERNANDO","SADF","-34.453189:-58.589644"
"MARIANO MORENO","SADJ","-34.560650:-58.789564"
"TRELEW AEROCLUB","SA","-43.235644:-65.324092"
"ANDALGALA","SA","-27.631667:-66.350833"
"SALADILLO","SA","-35.608056:-59.816389"
"MARCOS JUAREZ","SAOM","-32.683639:-62.157792"
"LAS HERAS","SAVH","-46.533056:-68.951111"
"VILLA GESELL","SAZV","-37.235408:-57.029239"
"SANTA CRUZ","SAWU","-50.016550:-68.579197"
"C FAA H R BORDEN","SAVJ","-41.320903:-69.574861"
"SAN CARLOS DE BARILOCHE","SAZS","-41.151172:-71.157542"
"CHILECITO","SANO","-29.223888:-67.438889"
"LAS LAJAS","SA","-38.538931:-70.337078"
"JUJUY AEROCLUB","SA","-24.236472:-65.269053"
"PERGAMINO","SAAN","-33.918964:-60.647972"
"SAN LUIS","SAOU","-33.273192:-66.356422"
"CATARATAS DEL IGUAZU","SARI","-25.737281:-54.473444"
"SAN JUAN AEROCLUB","SA","-31.602842:-68.547306"
"GUALEGUAYCHU","SAAG","-33.010278:-58.613056"
"ELDORADO","SATD","-26.397499:-54.574722"
"TENIENTE BENJAMIN MATIENZO","SANT","-26.840861:-65.104944"
"MINISTRO PISTARINI","SAEZ","-34.822222:-58.535833"
"USHUAIA EST AERONAVAL","SAWO","-54.822697:-68.304264"
"TRES ARROYOS","SAZH","-38.386911:-60.329711"
"SAN RAFAEL","SAMR","-34.588314:-68.403854"
"RESISTENCIA","SARE","-27.449986:-59.056125"
"SANTA MARIA","SA","-26.673436:-66.024003"
"CATAMARCA","SANC","-28.595556:-65.751667"
"RINCON DE LOS SAUCES","SAHS","-37.390617:-68.904211"
"POSADAS","SARP","-27.385839:-55.970728"
"BELEN","SA","-27.707933:-67.095058"
"ROSARIO","SAAR","-32.903611:-60.785000"
"SAUCE VIEJO","SAAV","-31.711666:-60.811668"
"GOYA","SATG","-29.099472:-59.250583"
"ESQUEL","SAVE","-42.907950:-71.139472"
"COMODORO RIVADAVIA","SAVC","-45.785347:-67.465508"
"ORAN","SASO","-23.152779:-64.329170"
"MALARGUE","SAMM","-35.493597:-69.574267"
"FRIAS","SA","-28.634444:-65.109167"
"SANTIAGO DEL ESTERO","SANE","-27.765617:-64.310122"
"ZAPALA","SAHZ","-38.975500:-70.113581"
"OBERA","SATO","-27.518156:-55.124156"
"CACHI","SA","-25.105006:-66.157192"
"VILLA DOLORES","SAOD","-31.945183:-65.146283"
"RAFAELA","SA","-31.282517:-61.501717"
"ISLA MARTIN GARCIA","SA","-34.182122:-58.246911"
"BELL VILLE","SA","-32.659883:-62.702025"
"LABOULAYE","SAOL","-34.135444:-63.362250"
"SCHERGER","YBSG","-12.623889:142.087222"
"PALM ISLAND","YPAM","-18.755278:146.581389"
"CENTURY MINE","YCNY","-18.753333:138.706667"
"BALLERA","YLLE","-27.408333:141.808333"
"TRUSCOTT MUNGALALU","YTST","-14.089722:126.380833"
"MARGARET RIVER","YMGT","-33.930556:115.100000"
"MANJIMUP","YMJM","-34.265278:116.140278"
"BRONZEWING","YBWG","-27.365556:121.035833"
"MURRIN MURRIN","YMMI","-28.705278:121.890556"
"TREPELL","YTEE","-21.835000:140.888333"
"THE MONUMENT","YTMO","-21.811111:139.923611"
"CUMMINS","YCUS","-34.208333:135.641667"
"LIZARD ISLAND","YLZI","-14.666667:145.450000"
"WILLIAMSON","YWIS","-22.473333:150.177500"
"KUBIN","YKUB","-10.225000:142.218333"
"MURRAY FIELD","YMUL","-32.508333:115.841667"
"PORMPURAAW","YPMP","-14.896667:141.609444"
"LAKE EVELLA","YLEV","-12.498889:135.805833"
"WARBURTON","YWBR","-26.128333:126.583333"
"BARIMUNYA","YBRY","-22.673889:119.166111"
"MOUNT HOTHAM","YHOT","-37.047500:147.334167"
"WARWICK","YWCK","-28.149444:151.943056"
"LEONGATHA","YLEG","-38.493056:145.859722"
"RAVENSTHORPE","YNRV","-33.797222:120.208056"
"YARRAWONGA","YYWG","-36.028889:146.028611"
"MOUNT BUNDEY","YMDY","-12.890000:131.908333"
"BIRCHIP","YBIR","-35.999722:142.917500"
"SNAKE BAY","YSNB","-11.422778:130.653611"
"DARWIN INTL","YPDN","-12.414722:130.876667"
"TAREE","YTRE","-31.888611:152.513889"
"GOULBURN","YGLB","-34.810278:149.726389"
"DIRRANBANDI","YDBI","-28.591667:148.216667"
"BAMAGA INJINOO","YBAM","-10.950833:142.459444"
"COOKTOWN","YCKN","-15.444722:145.184444"
"AVALON","YMAV","-38.039444:144.469444"
"BATHURST","YBTH","-33.409444:149.651944"
"COEN","YCOE","-13.760833:143.113611"
"FORREST","YFRT","-30.838056:128.115000"
"ARARAT","YARA","-37.309444:142.988611"
"BRISBANE ARCHERFIELD","YBAF","-27.570278:153.008056"
"CURTIN","YCIN","-17.581389:123.828333"
"GOVE","YPGV","-12.269444:136.818333"
"PORT MACQUARIE","YPMQ","-31.435833:152.863333"
"MOUNT GAMBIER","YMTG","-37.745556:140.785278"
"GEORGETOWN","YGTN","-18.305000:143.530000"
"WARRNAMBOOL","YWBL","-38.295278:142.446667"
"HUGHENDEN","YHUG","-20.815000:144.225278"
"WEIPA","YBWP","-12.678611:141.925278"
"CHARLEVILLE","YBCV","-26.413334:146.262500"
"CAIRNS INTL","YBCS","-16.885833:145.755278"
"COWRA","YCWR","-33.844722:148.648889"
"CHINCHILLA","YCCA","-26.775000:150.616667"
"ALBANY","YABA","-34.943333:117.808889"
"HORN ISLAND","YHID","-10.586389:142.290000"
"MOUNT ISA","YBMA","-20.663889:139.488611"
"PORT HEDLAND INTL","YPPD","-20.377778:118.626389"
"BARCALDINE","YBAR","-23.565278:145.306667"
"MITCHELL","YMIT","-26.483333:147.936667"
"NYNGAN","YNYN","-31.551111:147.202778"
"HOBART CAMBRIDGE","YCBG","-42.826667:147.474722"
"GAYNDAH","YGAY","-25.614444:151.619444"
"TAMWORTH","YSTW","-31.083889:150.846667"
"MAITLAND","YMND","-32.703333:151.488333"
"BRISBANE INTL","YBBN","-27.384167:153.117500"
"GROOTE EYLANDT","YGTE","-13.975000:136.460000"
"POINT COOK","YMPC","-37.932222:144.753333"
"YOUNG","YYNG","-34.255556:148.248056"
"OAKEY","YBOK","-27.411389:151.735278"
"DALBY","YDAY","-27.155278:151.267222"
"CARNARVON","YCAR","-24.880556:113.672222"
"COONAMBLE","YCNM","-30.983333:148.375556"
"MONTO","YMTO","-24.885833:151.100278"
"TENNANT CREEK","YTNK","-19.634444:134.183333"
"STANTHORPE","YSPE","-28.620278:151.990556"
"CUNNAMULLA","YCMU","-28.030000:145.622222"
"SHEPPARTON","YSHT","-36.428889:145.392500"
"COOMA SNOWY MOUNTAINS","YCOM","-36.300556:148.973889"
"WAGGA WAGGA","YSWG","-35.165278:147.466389"
"GOLD COAST","YBCG","-28.164444:153.504722"
"LONGREACH","YLRE","-23.434167:144.280278"
"PORTLAND","YPOD","-38.318056:141.471111"
"CESSNOCK","YCNK","-32.787500:151.341667"
"CASINO","YCAS","-28.882778:153.066944"
