"REINA BEATRIX INTL","TNCA","12.501389:-70.015221"
"ESTANCIA PAI QUARA","SG","-23.223956:-55.946356"
"DR AUGUSTO ROBERTO FUSTER INTL","SGPJ","-22.641425:-55.829989"
"GUARANI INTL","SGES","-25.455500:-54.843592"
"SAN NICOLAS","SP","-6.392308:-77.501217"
"GALILEA","SPGB","-4.031878:-77.758772"
"EL ESTRECHO","SPEE","-2.454058:-72.670642"
"TROMPETEROS","SPDR","-3.806008:-75.039292"
"GEN FAP ARMANDO REVOREDO IGLESIAS","SPJR","-7.139183:-78.489400"
"LAS PALMAS","SPLP","-12.160708:-76.998942"
"JUAN SIMONS VELA","SPJA","-6.067864:-77.159983"
"RODRIGUEZ BALLON","SPQU","-16.341072:-71.583083"
"SAN RAMON","SPRM","-11.128639:-75.350500"
"CESAR TORKE PODESTA","SPEQ","-17.178961:-70.930803"
"ILO","SPLO","-17.695036:-71.343964"
"PISCO INTL","SPSO","-13.744864:-76.220284"
"CABALLOCOCHA","SPBC","-3.916858:-70.508225"
"ALFEREZ  VLADIMIR SARA BAUER","SPAS","-2.796128:-76.466617"
"CORONEL FAP ALFREDO MENDIVIL DUARTE","SPHO","-13.154819:-74.204417"
"CAPITAN CARLOS MARTINEZ DE PINILLOS","SPRU","-8.081411:-79.108761"
"TENIENTE ALEJANDRO VELASCO ASTETE INTL","SPZO","-13.535722:-71.938781"
"CORONEL FRANCISCO SECADA VIGNETTA INTL","SPQT","-3.784739:-73.308806"
"CAPT JOSE A  QUINONES GONZALES INTL","SPHI","-6.787475:-79.828097"
"ATALAYA","SPAY","-10.729117:-73.766503"
"MARIA REICHE NEUMAN","SPZA","-14.853953:-74.961542"
"JULIACA","SPJL","-15.467103:-70.158169"
"PADRE ALDAMIZ","SPTU","-12.613611:-69.228611"
"TENIENTE JAIME A DE MONTREUIL MORALES","SPEO","-9.149614:-78.523850"
"MARIANO MELGAR","SP","-16.791528:-71.886583"
"PEDRO CANGA","SPME","-3.552528:-80.381356"
"CHACHAPOYAS","SPPY","-6.201806:-77.856064"
"CAP FAP DAVID ABENZUR RENGIFO INTL","SPCL","-8.377939:-74.574297"
"CORONEL CARLOS CIRIANI SANTA ROSA INTL","SPTN","-18.053333:-70.275833"
"JORGE CHAVEZ INTL","SPIM","-12.021889:-77.114319"
"MOISES BENZAQUEN RENGIFO","SPMS","-5.893772:-76.118211"
"COLLIQUE","SPOL","-11.928700:-77.061139"
"CAPITAN MONTES","SPYL","-4.576639:-81.254139"
"CAPITAN FAP GUILLERMO CONCHA IBERICO","SPUR","-5.205750:-80.616444"
"COMANDANTE FAP GERMAN ARIAS GRAZIANI","SPHZ","-9.347444:-77.598392"
"ANDAHUAYLAS","SPHY","-13.706408:-73.350378"
"CADETE GUILLERMO DEL CASTILLO PAREDES","SPST","-6.508742:-76.373247"
"JUANJUI","SPJI","-7.169100:-76.728561"
"SHUMBA","SPJE","-5.592481:-78.773972"
"HUANCABAMBA","SPAB","-5.256767:-79.442856"
"IBERIA","SPBR","-11.411578:-69.488711"
"PUERTO ESPERANZA","SPEP","-9.768131:-70.706456"
"MANUEL PRADO","SPMF","-11.325408:-74.535642"
"ALFEREZ FAP D F FERNANDINI","SPNC","-9.878811:-76.204797"
"FRANCISCO CARLE","SPJJ","-11.783144:-75.473394"
"GUEPPI","SPGP","-0.119056:-75.247919"
"WOODY ISLAND","VH","16.833529:112.344944"
"SWALLOW REEF","RP","7.371028:113.843110"
"THAR","OP","27.200531:69.153775"
"MIR BAZ","OP","31.189531:70.179983"
"BANDARI","OP","27.846547:65.160003"
"MAD JUMA","OP","28.356161:70.600183"
"BELAB","OP","30.340017:70.556678"
"OUZKANI","OP","30.250114:70.236292"
"KHOREWAH","OP","24.787239:68.557156"
"JAM NIDA NORTHWEST","OP","26.198133:67.503714"
"DADU WEST","OP","26.740794:67.666625"
"QASIM","OPQS","33.560153:73.033217"
"SHEIKH ZAYED","OPRK","28.383900:70.279572"
"MUZAFFARABAD","OPMF","34.339022:73.508639"
"KOT ADDU","OP","30.494875:70.971089"
"RAWALAKOT","OPRT","33.849658:73.798147"
"ALLAMA IQBAL INTL","OPLA","31.521564:74.403594"
"TALHAR","OPTH","24.841519:68.838408"
"SHAHBAZ AB","OPJA","28.284167:68.449711"
"JINNAH INTL","OPKC","24.906547:67.160797"
"ZHOB","OPZB","31.358381:69.463606"
"D I KHAN","OPDI","31.909422:70.896639"
"CHITRAL","OPCH","35.886592:71.800578"
"MULTAN INTL","OPMT","30.203222:71.419111"
"SHAREA FAISAL","OPSF","24.874206:67.118506"
"CHASHMA","OP","32.424489:71.458522"
"QUETTA","OPQT","30.251369:66.937764"
"MOENJODARO","OPMJ","27.335156:68.143053"
"SUKKUR","OPSK","27.721989:68.791683"
"RISALPUR","OPRS","34.081112:71.972583"
"SAIDU SHARIF","OPSS","34.813556:72.352814"
"FAISALABAD INTL","OPFA","31.365014:72.994842"
"NAWABSHAH","OPNH","26.219442:68.390053"
"MINHAS","OP","33.869092:72.400931"
"MIANWALI","OPMI","32.563089:71.570681"
"VELHARI","OP","30.091414:72.153761"
"CHANDHAR","OP","32.077839:73.790172"
"OKARA","OPOK","30.741025:73.357736"
"WALTON","OPLH","31.494794:74.346239"
"MANGLA","OPMA","33.050086:73.638381"
"PESHAWAR INTL","OPPS","33.993911:71.514581"
"WANA","OPWN","32.304664:69.570433"
"CHAKLALA","OPRN","33.616653:73.099233"
"MASROOR","OPMR","24.893564:66.938753"
"SKARDU","OPSD","35.335508:75.536047"
"TURBAT INTL","OPTU","25.986369:63.030167"
"GWADAR","OPGD","25.233308:62.329494"
"BAHAWALPUR","OPBW","29.348100:71.717981"
"RAJANPUR","OP","29.263972:70.186417"
"PASNI","OPPI","25.290487:63.345083"
"GILGIT","OPGT","35.918786:74.333644"
"PANJGUR","OPPG","26.954547:64.132517"
"BHAGATANWALA","OPBG","32.056108:72.948400"
"THAL","OP","33.387636:70.588767"
"MANDI BAHAUDDIN","OP","32.601375:73.508389"
"GURHA SALIM","OP","32.878536:73.605306"
"KHEWRA","OP","32.629144:73.022578"
"RAHWALI","OP","32.238978:74.130969"
"DHINGAR","OP","29.923333:66.746078"
"SUI","OPSU","28.645142:69.176917"
"KASHMOR","OP","28.470564:69.599058"
"KHAIRPUR","OP","28.036064:69.674850"
"NUSHKI","OPNK","29.539011:66.023339"
"KANDHKOT","OP","28.274003:69.275981"
"NOK KUNDI","OP","28.819439:62.730667"
"KHARAN","OPKN","28.597192:65.422547"
"JUZZAK","OP","29.040494:61.647392"
"ROBRAY","OP","26.251944:63.130280"
"PANO AQIL SOUTHEAST","OP","27.813136:69.167061"
"D G KHAN","OPDG","29.961011:70.485925"
"RUDNIKI","EPCH","50.885000:19.204722"
"SWIDWIN","EPSN","53.790639:15.826250"
"DABIE","EPSD","53.392114:14.633775"
"SZYMANY","EPSY","53.481858:20.937692"
"POWIDZ","EPPW","52.379444:17.853889"
"SZWEDEROWO","EPBY","53.096803:17.977669"
"MALBORK","EPMB","54.026944:19.134167"
"MIROSLAWIEC","EPMI","53.395072:16.082814"
"MINSK MAZOWIECKI","EPMM","52.195528:21.655917"
"PRUSZCZ GDANSKI","EPPR","54.247972:18.671583"
"RADOM","EPRA","51.389167:21.213333"
"PILA","EPPI","53.170000:16.712500"
"DEBLIN","EPDE","51.551389:21.893611"
"REDZIKOWO","EPSK","54.478889:17.107500"
"LEGNICA","EPLE","51.182750:16.178222"
"OKSYWIE","EPOK","54.579694:18.517194"
"CEWICE","EPCE","54.416036:17.763286"
"KRZESINY","EPKS","52.331719:16.966428"
"BABICE","EPBC","52.268494:20.911047"
"MODLIN","EPMO","52.451111:20.651778"
"LASK","EPLK","51.551667:19.179058"
"BIRCZA","EP","49.656617:22.513289"
"SOCHACZEW","EPSO","52.198611:20.292778"
"MUCHOWIEC","EPKM","50.238147:19.034181"
"KAMIEN SLASKI","EPKN","50.529194:18.084939"
"SPALA GLINNIK NOWY","EP","51.583881:20.096515"
"BABIMOST","EPZG","52.138517:15.798556"
"PYRZOWICE","EPKT","50.474253:19.080019"
"GOLENIOW","EPSC","53.584731:14.902206"
"LUBLINEK","EPLL","51.721881:19.398133"
"LECHA WALESY","EPGD","54.377569:18.466222"
"TORUN","EPTO","53.029211:18.545894"
"MIELEC","EPML","50.322275:21.462131"
"STRACHOWICE","EPWR","51.102683:16.885836"
"JASIONKA","EPRZ","50.109958:22.019000"
"LAWICA","EPPO","52.421031:16.826325"
"OKECIE","EPWA","52.165750:20.967122"
"LUBIN","EPLU","51.423008:16.196158"
"BALICE","EPKK","50.077731:19.784836"
"LA CABEZONA","MP","8.338391:-82.503494"
"FINCA 45","MP","9.543330:-82.733777"
"CAP JUSTINIANO MONTENEGRO","MP","7.556881:-80.023342"
"TOCUMEN INTL","MPTO","9.071364:-79.383453"
"FINCA 67","MP","9.431113:-82.497660"
"PENONOME","MP","8.503833:-80.360333"
"CAP SCARLET MARTINEZ","MP","8.375875:-80.127872"
"AUGUSTO VERGARA","MP","7.857375:-80.276089"
"ALVARO BERROA","MP","8.770386:-82.664356"
"ENRIQUE MALEK INTL","MPDA","8.391003:-82.434992"
"CAP MANUEL NINO INTL","MPCH","9.458636:-82.516806"
"INGENIO SANTA ROSA","MP","8.195222:-80.658694"
"ENRIQUE ADOLFO JIMENEZ","MPEJ","9.356639:-79.867414"
"CALZADA LARGA","MP","9.166283:-79.545078"
"MARCOS A GELABERT INTL","MPMG","8.973339:-79.555583"
"BOCAS DEL TORO INTL","MPBO","9.340853:-82.250842"
"ALONSO VALDERRAMA","MPCE","7.987836:-80.409739"
"CHAME","MP","8.588461:-79.889747"
"PUNTA COCOS","MP","8.224847:-78.904353"
"FINCA CEIBA","MP","8.355000:-82.836388"
"DEBORAH","MP","9.516136:-82.595464"
"FINCA 32","MPZL","9.427086:-82.562661"
"RUBEN CANTU","MPSA","8.085597:-80.945253"
"LAJES","LPLA","38.761842:-27.090797"
"SANTA MARGARIDA","LP","39.402361:-8.289056"
"FLORES","LPFL","39.455272:-31.131361"
"EVORA","LPEV","38.533472:-7.889639"
"HORTA","LPHR","38.519894:-28.715872"
"PORTIMAO","LPPM","37.149331:-8.583961"
"BRAGA","LPBR","41.587058:-8.445139"
"PORTO","LPPR","41.248055:-8.681389"
"GRACIOSA","LPGR","39.092169:-28.029847"
"COIMBRA","LPCO","40.157223:-8.470000"
"TANCOS","LPTN","39.475140:-8.364583"
"SINTRA","LPST","38.831053:-9.339553"
"MADEIRA","LPMA","32.697889:-16.774453"
"PONTA DELGADA","LPPD","37.741184:-25.697870"
"MONTE REAL","LPMR","39.831244:-8.887261"
"PICO","LPPI","38.554333:-28.441333"
"PORTO SANTO","LPPS","33.073386:-16.349975"
"SAO JORGE","LPSJ","38.665500:-28.175817"
"SANTA MARIA","LPAZ","36.971390:-25.170639"
"OVAR","LPOV","40.915867:-8.645919"
"BEJA","LPBJ","38.078903:-7.932397"
"VISEU","LPVZ","40.725539:-7.888992"
"MONTIJO","LPMT","38.703861:-9.035916"
"COVILHA","LPCV","40.264772:-7.479958"
"LISBOA","LPPT","38.781311:-9.135919"
"BRAGANCA","LPBG","41.857800:-6.707125"
"ALVERCA","LPAR","38.883278:-9.030097"
"FARO","LPFR","37.014425:-7.965911"
"VILA REAL","LPVR","41.274334:-7.720472"
"AVEIRO","LPAV","40.654164:-8.743553"
"CASCAIS","LPCS","38.725025:-9.355231"
"CHIMBU","AYCH","-6.024292:144.970528"
"MOMOTE","AYMO","-2.061889:147.424150"
"GIRUA","AYGR","-8.804544:148.309047"
"NADZAB","AYNZ","-6.569828:146.726242"
"KEREMA","AYKM","-7.963611:145.771389"
"GURNEY","AYGN","-10.311531:150.333756"
"GOROKA","AYGA","-6.081689:145.391881"
"VANIMO","AYVN","-2.697167:141.302286"
"PORT MORESBY JACKSONS INTL","AYPY","-9.443383:147.220050"
"HOSKINS","AYHK","-5.462169:150.404944"
"KAVIENG","AYKV","-2.579397:150.807978"
"WEWAK INTL","AYWK","-3.583828:143.669186"
"MADANG","AYMD","-5.207083:145.788700"
"MOUNT HAGEN","AYMH","-5.826789:144.295861"
"DARU","AYDU","-9.086756:143.207939"
"MENDI","AYMN","-6.147739:143.657164"
"WAPENAMANDA","AYWD","-5.643303:143.895411"
"TOKUA","AYTK","-4.340456:152.379667"
"BUKA","AYBK","-5.422317:154.672667"
"BABELTHUAP","PTRO","7.367650:134.544161"
"BISSAU OSWALDO VIEIRA INTL","GGOV","11.894850:-15.653681"
"CUFAR","GGCF","11.287917:-15.180500"
"QUEBO","GG","11.535628:-14.762314"
"AL KHOR","OTBK","25.629592:51.506722"
"DOHA INTL","OTBD","25.261125:51.565056"
"AL UDEID AB","OTBH","25.117317:51.314989"
"ST DENIS GILLOT","FMEE","-20.887100:55.510308"
"ST PIERRE PIERREFONDS","FMEP","-21.320903:55.424956"
"DYESS AAF","PKRO","9.396886:167.470869"
"MARSHALL ISLANDS INTL","PKMJ","7.064758:171.272022"
"ENEWETAK AUX AF","PKMA","11.340750:162.327861"
"BUCHOLZ AAF","PKWA","8.720122:167.731661"
"CAMPIA TURZII","LRCT","46.502281:23.885914"
"IANCA","LR","45.158667:27.430944"
"FETESTI","LR","44.392306:27.726694"
"DEVESELU","LR","44.077275:24.416406"
"BOBOC","LR","45.216425:26.978606"
"STEFAN CEL MARE","LRSV","47.687500:26.354056"
"SIBIU","LRSB","45.785597:24.091342"
"CLUJ NAPOCA","LRCL","46.785167:23.686167"
"ORADEA","LROD","47.025278:21.902500"
"CARANSEBES","LRCS","45.420000:22.253333"
"BACAU","LRBC","46.521946:26.910278"
"AUREL VLAICU","LRBS","44.503194:26.102111"
"VIDRASAU","LRTM","46.467714:24.412525"
"ARAD","LRAR","46.176550:21.262022"
"TRAIAN VUIA","LRTR","45.809861:21.337861"
"HENRI COANDA","LROP","44.572161:26.102178"
"CATALOI","LRTC","45.062486:28.714311"
"CRAIOVA","LRCV","44.318139:23.888611"
"SATU MARE","LRSM","47.703275:22.885700"
"TAUTII MAGHERAUS","LRBM","47.658389:23.470022"
"MIHAIL KOGALNICEANU","LRCK","44.362222:28.488333"
"IASI","LRIA","47.178492:27.620631"
"PINAMALAYAN","RPLA","12.985828:121.426011"
"PAGBILAO GRANDE ISLAND","RP","13.900219:121.743739"
"PUERTO PRINCESA","RPVP","9.742119:118.758731"
"NINOY AQUINO INTL","RPLL","14.508647:121.019581"
"JOLO","RPMJ","6.053672:121.011044"
"CAGAYAN DE ORO","RPML","8.415619:124.611219"
"DAET","RPUD","14.129167:122.980181"
"VIRAC","RPUV","13.576439:124.205672"
"BUTUAN","RPME","8.951322:125.477972"
"KALIBO","RPVK","11.679431:122.376294"
"BASA AB","RPUF","14.986527:120.492500"
"LUBANG","RPLU","13.855428:120.105342"
"TUGUEGARAO","RPUT","17.638311:121.730614"
"DUMAGUETE","RPVD","9.333714:123.300472"
"FERNANDO AB","RPUL","13.955017:121.124925"
"ZAMBOANGA INTL","RPMZ","6.922419:122.059633"
"BAGUIO","RPUB","16.375103:120.619636"
"PAGADIAN","RPMP","7.827197:123.458294"
"SANGLEY POINT AB","RPLS","14.495364:120.904075"
"SUBIC BAY INTL","RPLB","14.794450:120.271364"
"VIGAN","RPUQ","17.555331:120.355797"
"GUIUAN","RPVG","11.035544:125.741594"
"MACTAN CEBU INTL","RPVM","10.307542:123.979439"
"NONOC","RP","9.809261:125.593253"
"COTABATO","RPMC","7.165242:124.209619"
"ILOILO","RPVI","10.713044:122.545297"
"DIPOLOG","RPMG","8.601261:123.334481"
"MRMP","RP","16.829803:121.499978"
"LEGAZPI","RPLP","13.157064:123.746247"
"ILIGAN","RPMI","8.130489:124.214925"
"MAMBURAO","RPUM","13.208092:120.605350"
"ROXAS","RPVR","11.597669:122.751669"
"SANGA SANGA","RPMN","5.046994:119.743033"
"ALLAH VALLEY","RPMA","6.366817:124.751294"
"FRANCISCO BANGOY INTL","RPMD","7.125522:125.645778"
"TANDAG","RPMW","9.072111:126.171444"
"FORT MAGSAYSAY","RPLV","15.434722:121.091111"
"NAGA","RPUN","13.584886:123.270239"
"MARINDUQUE","RPUW","13.360967:121.825583"
"CALBAYOG","RPVC","12.072706:124.545092"
"SURIGAO","RPMS","9.757567:125.479328"
"SAN JOSE","RPUH","12.361517:121.046639"
"LAOAG INTL","RPLI","18.178092:120.531522"
"BISLIG","RPMF","8.195950:126.321597"
"GENERAL SANTOS","RPMB","6.106439:125.235300"
"ORMOC","RPVO","11.057997:124.565322"
"PASAR","RP","10.912058:124.437406"
"ROMBLON","RPVU","12.310986:122.084503"
"BASCO","RPUO","20.451322:121.979883"
"BACOLOD","RPVB","10.642511:122.929617"
"CATARMAN","RPVF","12.502417:124.635778"
"TAGBILARAN","RPVT","9.664081:123.853247"
"MASBATE","RPVJ","12.369367:123.629236"
"CAUAYAN","RPUY","16.929861:121.753036"
"DANIEL Z ROMUALDEZ","RPVA","11.227628:125.027758"
"OZAMIS","RPMO","8.178508:123.841731"
"SEAHAWK LZ","RP","6.654167:121.979667"
"SAN FERNANDO","RPUS","16.595589:120.303219"
"MATI NATIONAL","RPMQ","6.949367:126.272950"
"CAMIGUIN","RPMH","9.253525:124.707075"
"BAGABAG","RPUZ","16.619194:121.252319"
"LINGAYEN","RPUG","16.034786:120.241106"
"BALER","RPUR","15.729836:121.500133"
"BUSUANGA","RPVV","12.121458:120.100031"
"ANTIQUE","RPVS","10.766044:121.933439"
"SIARGAO","RPNS","9.859097:126.014017"
"CATICLAN","RPVE","11.924503:121.954050"
"MAASIN","RPSM","10.187333:124.782342"
"BORONGAN","RPVW","11.674328:125.478794"
"MALITA","RP","6.402281:125.619425"
"CLARK INTL","RPLC","15.185989:120.560325"
"TAMBLER","RPMR","6.058003:125.096033"
"BOQUERON","TJ","18.010747:-67.141281"
"FERNANDO LUIS RIBAS DOMINICCI","TJIG","18.456828:-66.098139"
"DIEGO JIMENEZ TORRES","TJFA","18.308889:-65.661861"
"ANTONIO NERY JUARBE POL","TJAB","18.450001:-66.675308"
"LUIS MUNOZ MARIN INTL","TJSJ","18.439417:-66.001833"
"EUGENIO MARIA DE HOSTOS","TJMZ","18.255694:-67.148472"
"ANTONIO RIVERA RODRIGUEZ","TJVQ","18.134811:-65.493617"
"MERCEDITA","TJPS","18.008306:-66.563028"
"SANTA ISABEL","TJ","17.963223:-66.391220"
"RAFAEL HERNANDEZ","TJBQ","18.494861:-67.129444"
"KOGALYM","USRK","62.190417:74.533803"
"OMSK","UNOO","54.967042:73.310514"
"BOLSHOYE SAVINO","USPP","57.914517:56.021214"
"TSENTRALNY","UWSS","51.565000:46.046667"
"MIGALOVO","UUEM","56.824736:35.757678"
"ELISTA","URWI","46.373933:44.330872"
"VOSTOCHNY","UWLW","54.401017:48.802656"
"ASTRAKHAN","URWA","46.283333:48.006278"
"KEMEROVO","UNEE","55.270094:86.107208"
"YEMELYANOVO","UNKL","56.172947:92.493278"
"TIKSI","UEST","71.697667:128.903017"
"BEGISHEVO","UWKE","55.564686:52.092511"
"ORSK","UWOR","51.072506:58.595586"
"SURGUT","USRR","61.343694:73.401842"
"NIZHNEVARTOVSK","USNN","60.949272:76.483617"
"BRYANSK","UUBP","53.214194:34.176447"
"POLIARNY","UERP","66.400431:112.030325"
"KURSK","UUOK","51.750614:36.295586"
"TUNOSHNA","UUDL","57.560667:40.157369"
"KHATANGA","UOHH","71.978058:102.490514"
"CHULMAN","UE","56.913917:124.913819"
"ALYKEL","UOOO","69.311053:87.332183"
"PEVEK","UHMP","69.783283:170.597006"
"MIRNY","UERR","62.534689:114.038928"
"SALEKHARD","USDD","66.590753:66.611042"
"MAGNITOGORSK","USCM","53.393131:58.755661"
"KHANTY MANSIYSK","USHH","61.028479:69.086067"
"UYTASH","URML","42.816822:47.652294"
"SYKTYVKAR","UUYY","61.647050:50.845050"
"KAZAN","UWKD","55.606186:49.278728"
"SOCHI","URSS","43.449928:39.956589"
"STRIGINO","UWGG","56.230119:43.784042"
"SHEREMETYEVO","UUEE","55.972642:37.414589"
"MUKHINO","UIUU","51.807764:107.437644"
"BESOVETS","ULPB","61.885161:34.154744"
"ROSTOV NA DONU","URRR","47.258208:39.818089"
"SHPAKOVSKOYE","URMT","45.109165:42.112778"
"PULKOVO","ULLI","59.800292:30.262503"
"VNUKOVO","UUWW","55.591531:37.261486"
"KURUMOCH","UWWW","53.504858:50.164336"
"KADALA","UIAA","52.026317:113.305556"
"PASHKOVSKIY","URKK","45.034689:39.170539"
"IRKUTSK","UIII","52.268028:104.388975"
"MURMANSK","ULMM","68.781672:32.750822"
"KHRABROVO","UMKK","54.890050:20.592633"
"VITYAZEVO","URKA","45.002097:37.347272"
"MINERALNYYE VODY","URMM","44.225072:43.081889"
"NALCHIK","URMN","43.512856:43.636583"
"BESLAN","URMO","43.205114:44.606642"
"DOMODEDOVO","UUDD","55.408786:37.906314"
"CHERTOVITSKOYE","UUOO","51.814211:39.229589"
"GUMRAK","URWW","48.782528:44.345544"
"PSKOV","ULOO","57.783917:28.395614"
"BELGOROD","UUOB","50.643764:36.590125"
"TALAGI","ULAA","64.600281:40.716667"
"TOLMACHEVO","UNNT","55.012622:82.650656"
"ABAKAN","UNAA","53.740000:91.385000"
"UGOLNY","UHMA","64.734950:177.741483"
"BALANDINO","USCC","55.305836:61.503333"
"NOVY","UHHH","48.528044:135.188361"
"SOKOL","UHMM","59.910989:150.720439"
"ORENBURG","UWOO","51.795786:55.456744"
"YELIZOVO","UHPP","53.167889:158.453669"
"PROVIDENIYA BAY","UHMD","64.378139:-173.243306"
"UFA","UWUU","54.557511:55.874417"
"YAKUTSK","UEEE","62.093250:129.770672"
"KOLTSOVO","USSS","56.743108:60.802728"
"KHOMUTOVO","UHSS","46.888672:142.717531"
"ROSCHINO","USTR","57.189567:65.324300"
"BRATSK","UIBB","56.370556:101.698331"
"BARNAUL","UNBB","53.363775:83.538533"
"IGNATYEVO","UHBB","50.425394:127.412478"
"CHEBOKSARY","UWKS","56.090269:47.347250"
"KNEVICHI","UHWW","43.398953:132.148017"
"GISENYI","HRYG","-1.677203:29.258875"
"KAMEMBE","HRZA","-2.462242:28.907950"
"KIGALI INTL","HRYR","-1.968628:30.139450"
"HAWTAH","OEHW","22.967769:46.899494"
"PRINCE SALMAN BIN ABDULAZIZ","OEDM","24.449867:44.121175"
"RAFHA","OERF","29.626419:43.490614"
"KHURAIS","OEKR","25.069556:48.194944"
"KING ABDULAZIZ INTL","OEJN","21.679564:39.156536"
"SULAYEL","OESL","20.464744:45.619644"
"RIYADH AB","OERY","24.709833:46.725166"
"UDHAILIYAH","OEUD","25.151056:49.328750"
"ARFA","OE","21.323553:41.198267"
"THUMAMAH","OETH","25.212986:46.640978"
"TABUK","OETB","28.365417:36.618889"
"RAS KHAFJI","OE","28.389914:48.516517"
"AL JOUF","OESK","29.785133:40.100006"
"PUMP STATION 3","OEPC","25.174547:47.488431"
"AL LIDEM","OE","20.475911:44.757517"
"TAIF","OETF","21.483418:40.544334"
"KING KHALED MILITARY CITY","OEKK","27.900917:45.528194"
"RAS MISHAB","OERM","28.079584:48.610973"
"PUMP STATION 10","OEPJ","24.107339:41.036047"
"NEJRAN","OENG","17.611436:44.419169"
"KING KHALED AB","OEKM","18.297286:42.803536"
"AL AHSA","OEAH","25.285306:49.485189"
"PUMP STATION 9","OEPI","24.276078:42.143664"
"ABQAIQ","OEBQ","25.911281:49.591231"
"QUZ SOUTH","OE","18.893200:41.354989"
"MECCA EAST","OE","21.437489:39.994206"
"YENBO","OEYN","24.144244:38.063350"
"KING ABDULLAH BIN ABDULAZIZ","OEGN","16.901111:42.585833"
"IPSA 3","OEPK","27.954200:46.742567"
"KING KHALED INTL","OERK","24.957640:46.698776"
"KING ABDULAZIZ NAVAL BASE","OE","26.941639:49.704056"
"BISHA","OEBH","19.984350:42.620881"
"AL KHARJ EAST","OE","24.051539:47.654214"
"AL ARTAWIYAH SOUTH","OE","26.611567:45.321975"
"QAISUMAH","OEPA","28.335192:46.125069"
"TURAIF","OETR","31.692683:38.731200"
"KING ABDUL AZIZ MIL ACADEMY","OE","24.942139:46.391211"
"RABIGH","OERB","22.702608:39.069842"
"ARAR","OERR","30.906589:41.138217"
"AL BAHA","OEBA","20.296139:41.634277"
"WADI AL DAWASIR","OEWD","20.504275:45.199556"
"WEJH","OEWJ","26.198553:36.476381"
"HAFAR AL ATK","OE","25.993422:46.536733"
"KING FAHD INTL","OEDF","26.471161:49.797890"
"RAS TANAJIB","OETN","27.867844:48.769150"
"SHARURAH","OESH","17.466875:47.121431"
"RAS TANURA","OERT","26.723108:50.030814"
"KING ABDULAZIZ AB","OEDR","26.265417:50.152027"
"GASSIM","OEGS","26.302778:43.774445"
"PRINCE MOHAMMAD BIN ABDULAZIZ","OEMA","24.553422:39.705061"
"ABHA","OEAB","18.240367:42.656625"
"HAIL","OEHL","27.437917:41.686292"
"ABU ALI","OEAA","27.319056:49.587072"
"GURIAT","OEGT","31.411942:37.279469"
"KING FAISAL NAVAL BASE","OEJF","21.348100:39.173033"
"JUBAIL","OEJB","27.039028:49.405083"
"PUMP STATION 6","OEPF","24.710333:44.964527"
"GHAFAH","OE","21.226958:55.267322"
"SHAIBAH","OESB","22.514542:53.964147"
"KHALFAN","OE","22.710142:53.281178"
"PRINCE SULTAN AB","OEPS","24.062700:47.580536"
"MIQUELON","LFVM","47.095472:-56.380278"
"ST PIERRE","LFVP","46.762904:-56.173088"
"ROBERT L BRADSHAW","TKPK","17.311194:-62.718667"
"VANCE WINKWORTH AMORY INTL","TKPN","17.205678:-62.589869"
"ASSUMPTION ISLAND","FSAS","-9.742225:46.506836"
"COETIVY","FSSC","-7.134567:56.278239"
"FARQUHAR","FSFA","-10.109611:51.176119"
"ALPHONSE","FSAL","-7.004783:52.726247"
"PRASLIN","FSPP","-4.319292:55.691417"
"SEYCHELLES INTL","FSIA","-4.674342:55.521839"
"GREYTOWN","FAGY","-29.122011:30.586706"
"KRUGER MPUMALANGA INTL","FAKN","-25.383189:31.105603"
"MORNINGSIDE FARM","FAMS","-25.704458:26.908978"
"GRAAFF REINET","FAGR","-32.193611:24.541389"
"HENDRIK SWELLENGREBEL","FASX","-34.048222:20.474611"
"VREDENDAL","FAVR","-31.640961:18.544789"
"HARRISMITH","FAHR","-28.235072:29.106206"
"VRYBURG","FAVB","-26.982408:24.728756"
"SWARTKOP","FASK","-25.809717:28.164631"
"MKUZI","FAMU","-27.626086:32.044275"
"LADYSMITH","FALY","-28.581667:29.749722"
"TZANEEN","FATZ","-23.824417:30.329306"
"SALDANHA VREDENBURG","FASD","-32.964067:17.969331"
"MAKHADO AFB","FALM","-23.159911:29.696544"
"WATERKLOOF AFB","FAWK","-25.830000:28.222500"
"PHALABORWA","FAPH","-23.937166:31.155390"
"ERMELO","FAEO","-26.495644:29.979764"
"LANGEBAANWEG","FALW","-32.968889:18.160278"
"PORT ST JOHNS","FAPJ","-31.605886:29.519786"
"AGGENEYS","FAAG","-29.281767:18.813869"
"SKUKUZA","FASZ","-24.960944:31.588731"
"ALEXANDER BAY","FAAB","-28.575001:16.533333"
"VENETIA","FAVM","-22.448075:29.337750"
"LIME ACRES FINSCH MINE","FALC","-28.360069:23.439069"
"PLETTENBERG BAY","FAPG","-34.090279:23.327778"
"BOTHAVILLE","FABO","-27.366769:26.629194"
"MTHATHA","FAUT","-31.547903:28.674289"
"TOMMYS FLD","FATF","-28.260028:22.993178"
"PIETERSBURG","FAPI","-23.926089:29.484422"
"GRAND CENTRAL","FAGC","-25.986267:28.140061"
"JOHANNESBURG INTL","FAJS","-26.139166:28.246000"
"KIMBERLEY","FAKM","-28.802834:24.765167"
"WONDERBOOM","FAWB","-25.653858:28.224231"
